authors;year;title;journal;url
Tan, B., J. J. Dellomo, C. N. Folley, et al.;2020;GOES-R series image navigation and registration performance assessment tool set;Journal of Applied Remote Sensing;http://dx.doi.org/10.1117/1.jrs.14.032405
Tan, B., J. J. Dellomo, R. E. Wolfe, and A. D. Reth;2019;GOES-16 and GOES-17 ABI INR assessment;Earth Observing Systems XXIV;http://dx.doi.org/10.1117/12.2529336
Carr, J. L., D. L. Wu, R. E. Wolfe, et al.;2019;Joint 3D-Wind Retrievals with Stereoscopic Views from MODIS and GOES;Remote Sensing;http://dx.doi.org/10.3390/rs11182100
Tan, B., J. Dellomo, R. E. Wolfe, and A. D. Reth;2018;GOES-16 ABI navigation assessment;Earth Observing Systems XXIII;http://dx.doi.org/10.1117/12.2321170
